(reinforcement) C:\Users\Kelvin\Desktop\reinforcement learning\Chapter 11>python .\a3c_data_parallelism.py --cuda -n final
45129: done 1 games, mean reward -21.000, speed 110.46 f/s
45259: done 2 games, mean reward -21.000, speed 126.09 f/s
45278: done 3 games, mean reward -21.000, speed 608.16 f/s
45386: done 4 games, mean reward -21.000, speed 93.43 f/s
45421: done 5 games, mean reward -21.000, speed 448.11 f/s
45632: done 6 games, mean reward -21.000, speed 95.12 f/s
46325: done 7 games, mean reward -21.000, speed 120.88 f/s
46908: done 8 games, mean reward -21.000, speed 106.33 f/s
46981: done 9 games, mean reward -21.000, speed 67.72 f/s
48485: done 10 games, mean reward -21.000, speed 120.50 f/s
48902: done 11 games, mean reward -21.000, speed 98.10 f/s
48991: done 12 games, mean reward -21.000, speed 569.88 f/s
48997: done 13 games, mean reward -21.000, speed 6.00 f/s
49130: done 14 games, mean reward -21.000, speed 125.21 f/s
49927: done 15 games, mean reward -20.933, speed 104.12 f/s
50181: done 16 games, mean reward -20.875, speed 115.32 f/s
50306: done 17 games, mean reward -20.882, speed 112.70 f/s
50614: done 18 games, mean reward -20.889, speed 134.13 f/s
51452: done 19 games, mean reward -20.842, speed 125.63 f/s
51462: done 20 games, mean reward -20.800, speed 10.67 f/s
52356: done 21 games, mean reward -20.810, speed 113.55 f/s
52486: done 22 games, mean reward -20.818, speed 122.38 f/s
52550: done 23 games, mean reward -20.826, speed 585.45 f/s
52558: done 24 games, mean reward -20.792, speed 512.11 f/s
52742: done 25 games, mean reward -20.800, speed 84.74 f/s
52869: done 26 games, mean reward -20.808, speed 111.37 f/s
54385: done 27 games, mean reward -20.815, speed 121.61 f/s
54394: done 28 games, mean reward -20.821, speed 576.14 f/s
54901: done 29 games, mean reward -20.793, speed 113.48 f/s
55247: done 30 games, mean reward -20.767, speed 103.99 f/s
55484: done 31 games, mean reward -20.774, speed 109.94 f/s
55812: done 32 games, mean reward -20.781, speed 98.12 f/s
55871: done 33 games, mean reward -20.788, speed 944.69 f/s
55919: done 34 games, mean reward -20.735, speed 512.12 f/s
55943: done 35 games, mean reward -20.743, speed 25.60 f/s
56045: done 36 games, mean reward -20.750, speed 653.13 f/s
56251: done 37 games, mean reward -20.730, speed 92.22 f/s
56579: done 38 games, mean reward -20.711, speed 104.46 f/s
56966: done 39 games, mean reward -20.692, speed 115.77 f/s
57066: done 40 games, mean reward -20.675, speed 640.15 f/s
57218: done 41 games, mean reward -20.683, speed 71.02 f/s
57989: done 42 games, mean reward -20.643, speed 114.25 f/s
57989: done 43 games, mean reward -20.605, speed 0.00 f/s
58501: done 44 games, mean reward -20.591, speed 109.25 f/s
58612: done 45 games, mean reward -20.578, speed 710.72 f/s
58757: done 46 games, mean reward -20.587, speed 67.26 f/s
59782: done 47 games, mean reward -20.574, speed 111.02 f/s
60167: done 48 games, mean reward -20.542, speed 110.52 f/s
61063: done 49 games, mean reward -20.551, speed 109.46 f/s
61701: done 50 games, mean reward -20.540, speed 108.33 f/s
61792: done 51 games, mean reward -20.529, speed 728.17 f/s
61830: done 52 games, mean reward -20.500, speed 36.31 f/s
62214: done 53 games, mean reward -20.491, speed 109.25 f/s
62525: done 54 games, mean reward -20.481, speed 129.28 f/s
63190: done 55 games, mean reward -20.455, speed 113.52 f/s
63237: done 56 games, mean reward -20.464, speed 48.53 f/s
63573: done 57 games, mean reward -20.439, speed 137.00 f/s
63618: done 58 games, mean reward -20.431, speed 42.36 f/s
63949: done 59 games, mean reward -20.424, speed 135.83 f/s
76293: done 60 games, mean reward -20.400, speed 113.51 f/s
92294: done 61 games, mean reward -20.410, speed 114.60 f/s
95232: done 62 games, mean reward -20.419, speed 114.69 f/s
95714: done 63 games, mean reward -20.429, speed 137.75 f/s
95964: done 64 games, mean reward -20.438, speed 110.37 f/s
96054: done 65 games, mean reward -20.446, speed 82.31 f/s
96192: done 66 games, mean reward -20.455, speed 126.20 f/s
98048: done 67 games, mean reward -20.463, speed 107.31 f/s
98310: done 68 games, mean reward -20.471, speed 113.32 f/s
99168: done 69 games, mean reward -20.478, speed 120.99 f/s
99179: done 70 games, mean reward -20.486, speed 704.14 f/s
101563: done 71 games, mean reward -20.493, speed 108.39 f/s
101864: done 72 games, mean reward -20.486, speed 126.77 f/s
102068: done 73 games, mean reward -20.493, speed 94.63 f/s
103373: done 74 games, mean reward -20.500, speed 112.74 f/s
103558: done 75 games, mean reward -20.507, speed 88.38 f/s
104295: done 76 games, mean reward -20.513, speed 129.97 f/s
106109: done 77 games, mean reward -20.506, speed 116.36 f/s
106482: done 78 games, mean reward -20.500, speed 109.03 f/s
106886: done 79 games, mean reward -20.506, speed 94.73 f/s
107782: done 80 games, mean reward -20.500, speed 113.80 f/s
107879: done 81 games, mean reward -20.494, speed 690.13 f/s
108276: done 82 games, mean reward -20.488, speed 117.66 f/s
108386: done 83 games, mean reward -20.494, speed 96.46 f/s
108519: done 84 games, mean reward -20.476, speed 113.52 f/s
108550: done 85 games, mean reward -20.482, speed 32.53 f/s
108657: done 86 games, mean reward -20.488, speed 570.92 f/s
108918: done 87 games, mean reward -20.483, speed 116.84 f/s
109161: done 88 games, mean reward -20.489, speed 111.91 f/s
109190: done 89 games, mean reward -20.494, speed 29.47 f/s
109319: done 90 games, mean reward -20.489, speed 114.69 f/s
109445: done 91 games, mean reward -20.462, speed 115.23 f/s
109537: done 92 games, mean reward -20.446, speed 654.53 f/s
109679: done 93 games, mean reward -20.441, speed 122.84 f/s
110212: done 94 games, mean reward -20.436, speed 98.90 f/s
110471: done 95 games, mean reward -20.442, speed 114.34 f/s
110647: done 96 games, mean reward -20.438, speed 152.26 f/s
110695: done 97 games, mean reward -20.443, speed 512.12 f/s
111229: done 98 games, mean reward -20.429, speed 119.11 f/s
111574: done 99 games, mean reward -20.424, speed 103.69 f/s
111575: done 100 games, mean reward -20.420, speed 1.00 f/s
112090: done 101 games, mean reward -20.410, speed 113.29 f/s
112729: done 102 games, mean reward -20.410, speed 115.55 f/s
114421: done 103 games, mean reward -20.410, speed 116.34 f/s
115970: done 104 games, mean reward -20.400, speed 108.37 f/s
116870: done 105 games, mean reward -20.390, speed 116.86 f/s
117057: done 106 games, mean reward -20.390, speed 151.53 f/s
117445: done 107 games, mean reward -20.380, speed 115.52 f/s
117461: done 108 games, mean reward -20.380, speed 512.12 f/s
117751: done 109 games, mean reward -20.370, speed 123.76 f/s
117892: done 110 games, mean reward -20.370, speed 69.97 f/s
118346: done 111 games, mean reward -20.370, speed 130.33 f/s
119556: done 112 games, mean reward -20.350, speed 108.64 f/s
120454: done 113 games, mean reward -20.340, speed 114.06 f/s
121222: done 114 games, mean reward -20.340, speed 114.87 f/s
123381: done 115 games, mean reward -20.350, speed 118.84 f/s
124550: done 116 games, mean reward -20.340, speed 106.60 f/s
124656: done 117 games, mean reward -20.320, speed 678.70 f/s
125317: done 118 games, mean reward -20.300, speed 100.99 f/s
126454: done 119 games, mean reward -20.310, speed 124.21 f/s
130823: done 120 games, mean reward -20.280, speed 112.46 f/s
140748: done 121 games, mean reward -20.280, speed 115.43 f/s
143172: done 122 games, mean reward -20.280, speed 115.11 f/s
146565: done 123 games, mean reward -20.280, speed 112.72 f/s
147963: done 124 games, mean reward -20.280, speed 123.44 f/s
148713: done 125 games, mean reward -20.280, speed 114.04 f/s
148791: done 126 games, mean reward -20.280, speed 74.52 f/s
148820: done 127 games, mean reward -20.280, speed 464.11 f/s
149492: done 128 games, mean reward -20.280, speed 119.83 f/s
151557: done 129 games, mean reward -20.290, speed 110.07 f/s
153607: done 130 games, mean reward -20.300, speed 115.52 f/s
154502: done 131 games, mean reward -20.290, speed 114.13 f/s
154567: done 132 games, mean reward -20.290, speed 693.79 f/s
154838: done 133 games, mean reward -20.290, speed 116.43 f/s
155015: done 134 games, mean reward -20.310, speed 83.93 f/s
156038: done 135 games, mean reward -20.300, speed 113.89 f/s
157574: done 136 games, mean reward -20.300, speed 115.41 f/s
158840: done 137 games, mean reward -20.290, speed 125.65 f/s
158855: done 138 games, mean reward -20.300, speed 16.00 f/s
158921: done 139 games, mean reward -20.310, speed 528.30 f/s
158923: done 140 games, mean reward -20.310, speed 2.00 f/s
159110: done 141 games, mean reward -20.310, speed 88.67 f/s
159415: done 142 games, mean reward -20.330, speed 131.04 f/s
160088: done 143 games, mean reward -20.350, speed 120.01 f/s
160647: done 144 games, mean reward -20.360, speed 103.72 f/s
161085: done 145 games, mean reward -20.370, speed 127.38 f/s
161156: done 146 games, mean reward -20.360, speed 73.30 f/s
161156: done 147 games, mean reward -20.370, speed 0.00 f/s
161236: done 148 games, mean reward -20.390, speed 640.35 f/s
162181: done 149 games, mean reward -20.380, speed 107.85 f/s
163893: done 150 games, mean reward -20.380, speed 119.64 f/s
164610: done 151 games, mean reward -20.390, speed 111.13 f/s
165578: done 152 games, mean reward -20.400, speed 124.93 f/s
165981: done 153 games, mean reward -20.410, speed 120.55 f/s
167026: done 154 games, mean reward -20.420, speed 116.14 f/s
167361: done 155 games, mean reward -20.430, speed 99.74 f/s
167558: done 156 games, mean reward -20.420, speed 92.73 f/s
170118: done 157 games, mean reward -20.410, speed 115.00 f/s
170175: done 158 games, mean reward -20.410, speed 608.39 f/s
170372: done 159 games, mean reward -20.400, speed 91.38 f/s
170723: done 160 games, mean reward -20.420, speed 146.86 f/s
171512: done 161 games, mean reward -20.400, speed 115.84 f/s
171783: done 162 games, mean reward -20.400, speed 85.04 f/s
171879: done 163 games, mean reward -20.390, speed 682.98 f/s
172283: done 164 games, mean reward -20.380, speed 116.45 f/s
172880: done 165 games, mean reward -20.370, speed 109.19 f/s
173445: done 166 games, mean reward -20.360, speed 104.53 f/s
175237: done 167 games, mean reward -20.340, speed 117.04 f/s
175366: done 168 games, mean reward -20.320, speed 114.69 f/s
176074: done 169 games, mean reward -20.310, speed 124.86 f/s
176311: done 170 games, mean reward -20.310, speed 110.74 f/s
177235: done 171 games, mean reward -20.310, speed 119.01 f/s
178310: done 172 games, mean reward -20.290, speed 108.89 f/s
179072: done 173 games, mean reward -20.290, speed 115.87 f/s
180304: done 174 games, mean reward -20.280, speed 121.33 f/s
180998: done 175 games, mean reward -20.280, speed 106.54 f/s
184325: done 176 games, mean reward -20.260, speed 116.76 f/s
185284: done 177 games, mean reward -20.260, speed 122.78 f/s
188139: done 178 games, mean reward -20.250, speed 116.56 f/s
190589: done 179 games, mean reward -20.240, speed 116.96 f/s
191325: done 180 games, mean reward -20.220, speed 111.38 f/s
194695: done 181 games, mean reward -20.220, speed 113.42 f/s
198486: done 182 games, mean reward -20.220, speed 117.52 f/s
199552: done 183 games, mean reward -20.220, speed 109.53 f/s
202723: done 184 games, mean reward -20.240, speed 118.92 f/s
203009: done 185 games, mean reward -20.220, speed 89.74 f/s
203398: done 186 games, mean reward -20.220, speed 117.46 f/s
203526: done 187 games, mean reward -20.230, speed 110.73 f/s
203894: done 188 games, mean reward -20.220, speed 145.42 f/s
205063: done 189 games, mean reward -20.220, speed 107.52 f/s
205225: done 190 games, mean reward -20.230, speed 140.15 f/s
205231: done 191 games, mean reward -20.260, speed 384.06 f/s
205890: done 192 games, mean reward -20.280, speed 119.51 f/s
208347: done 193 games, mean reward -20.280, speed 118.08 f/s
209796: done 194 games, mean reward -20.280, speed 109.26 f/s
