(reinforcement) C:\Users\Kelvin\Desktop\reinforcement learning\Chapter 11>python .\a3c_grad.py.py --cuda -n final
11273: done 1 games, mean reward -21.000, speed 53.89 f/s
11285: done 1 games, mean reward -21.000, speed 53.96 f/s
11316: done 2 games, mean reward -21.000, speed 45.88 f/s
11543: done 1 games, mean reward -21.000, speed 53.81 f/s
11543: done 1 games, mean reward -21.000, speed 53.72 f/s
11717: done 2 games, mean reward -21.000, speed 50.63 f/s
11752: done 2 games, mean reward -21.000, speed 57.42 f/s
12193: done 3 games, mean reward -21.000, speed 53.26 f/s
12429: done 3 games, mean reward -20.667, speed 53.44 f/s
12447: done 4 games, mean reward -21.000, speed 54.20 f/s
12459: done 3 games, mean reward -21.000, speed 56.35 f/s
12460: done 2 games, mean reward -21.000, speed 53.08 f/s
12507: done 4 games, mean reward -20.750, speed 60.16 f/s
12624: done 5 games, mean reward -21.000, speed 52.46 f/s
12642: done 3 games, mean reward -21.000, speed 53.44 f/s
12852: done 4 games, mean reward -20.750, speed 55.91 f/s
12859: done 5 games, mean reward -20.600, speed 64.01 f/s
13165: done 4 games, mean reward -21.000, speed 55.34 f/s
13307: done 6 games, mean reward -20.833, speed 56.64 f/s
13330: done 6 games, mean reward -20.500, speed 51.90 f/s
13568: done 5 games, mean reward -21.000, speed 56.33 f/s
13591: done 6 games, mean reward -20.833, speed 24.54 f/s
13599: done 7 games, mean reward -20.429, speed 56.46 f/s
13621: done 5 games, mean reward -20.600, speed 55.45 f/s
13807: done 7 games, mean reward -20.571, speed 53.79 f/s
13823: done 6 games, mean reward -20.667, speed 55.98 f/s
13958: done 7 games, mean reward -20.714, speed 43.87 f/s
14163: done 7 games, mean reward -20.571, speed 54.57 f/s
14258: done 8 games, mean reward -20.625, speed 66.83 f/s
14279: done 9 games, mean reward -20.667, speed 24.01 f/s
14289: done 8 games, mean reward -20.625, speed 52.56 f/s
14399: done 9 games, mean reward -20.667, speed 74.91 f/s
14491: done 10 games, mean reward -20.700, speed 43.63 f/s
14501: done 8 games, mean reward -20.625, speed 56.34 f/s
14632: done 9 games, mean reward -20.444, speed 55.91 f/s
14675: done 8 games, mean reward -20.375, speed 54.24 f/s
14695: done 10 games, mean reward -20.300, speed 53.77 f/s
14730: done 10 games, mean reward -20.600, speed 54.99 f/s
14800: done 11 games, mean reward -20.273, speed 47.67 f/s
14828: done 9 games, mean reward -20.444, speed 60.46 f/s
14853: done 10 games, mean reward -20.400, speed 28.08 f/s
14889: done 11 games, mean reward -20.727, speed 56.12 f/s
15022: done 12 games, mean reward -20.250, speed 59.71 f/s
15027: done 11 games, mean reward -20.545, speed 59.79 f/s
15096: done 12 games, mean reward -20.583, speed 56.63 f/s
15587: done 13 games, mean reward -20.308, speed 54.14 f/s
15691: done 13 games, mean reward -20.615, speed 52.18 f/s
15699: done 11 games, mean reward -20.364, speed 55.15 f/s
15970: done 12 games, mean reward -20.500, speed 54.00 f/s
15971: done 14 games, mean reward -20.643, speed 57.82 f/s
16125: done 12 games, mean reward -20.167, speed 58.77 f/s
16222: done 13 games, mean reward -20.000, speed 44.04 f/s
16394: done 15 games, mean reward -20.467, speed 52.78 f/s
16511: done 14 games, mean reward -20.143, speed 55.64 f/s
16797: done 13 games, mean reward -20.385, speed 54.41 f/s
16884: done 14 games, mean reward -20.214, speed 59.25 f/s
16899: done 15 games, mean reward -20.133, speed 48.80 f/s
17022: done 15 games, mean reward -20.200, speed 57.74 f/s
17280: done 14 games, mean reward -19.857, speed 55.24 f/s
17516: done 15 games, mean reward -19.733, speed 51.92 f/s
23631: done 16 games, mean reward -20.188, speed 54.60 f/s
23883: done 16 games, mean reward -20.500, speed 54.48 f/s
24040: done 16 games, mean reward -20.250, speed 54.42 f/s
24234: done 17 games, mean reward -20.529, speed 57.91 f/s
25175: done 16 games, mean reward -19.812, speed 54.46 f/s
25529: done 18 games, mean reward -20.556, speed 55.01 f/s
25539: done 17 games, mean reward -20.118, speed 54.41 f/s
25865: done 18 games, mean reward -20.167, speed 55.06 f/s
25899: done 17 games, mean reward -19.882, speed 55.64 f/s
25992: done 19 games, mean reward -20.211, speed 54.56 f/s
26075: done 17 games, mean reward -20.235, speed 54.39 f/s
26094: done 18 games, mean reward -20.278, speed 101.36 f/s
26216: done 18 games, mean reward -19.889, speed 53.97 f/s
26369: done 19 games, mean reward -19.895, speed 47.09 f/s
26520: done 19 games, mean reward -20.316, speed 53.47 f/s
26529: done 20 games, mean reward -20.350, speed 64.01 f/s
26600: done 19 games, mean reward -20.579, speed 54.15 f/s
26678: done 20 games, mean reward -20.250, speed 57.03 f/s
26799: done 20 games, mean reward -20.600, speed 55.63 f/s
26815: done 21 games, mean reward -20.333, speed 59.44 f/s
26810: done 21 games, mean reward -20.571, speed 70.42 f/s
26840: done 22 games, mean reward -20.545, speed 32.55 f/s
26880: done 22 games, mean reward -20.364, speed 52.67 f/s
26889: done 23 games, mean reward -20.522, speed 46.13 f/s
27320: done 20 games, mean reward -19.900, speed 56.84 f/s
27365: done 21 games, mean reward -20.286, speed 53.83 f/s
27677: done 22 games, mean reward -20.318, speed 53.55 f/s
27774: done 23 games, mean reward -20.348, speed 68.24 f/s
28183: done 23 games, mean reward -20.348, speed 53.61 f/s
28419: done 24 games, mean reward -20.333, speed 51.87 f/s
28422: done 21 games, mean reward -19.905, speed 53.04 f/s
28463: done 24 games, mean reward -20.375, speed 57.82 f/s
28607: done 25 games, mean reward -20.360, speed 54.22 f/s
28617: done 24 games, mean reward -20.500, speed 54.41 f/s
28657: done 26 games, mean reward -20.385, speed 45.72 f/s
28653: done 25 games, mean reward -20.480, speed 109.74 f/s
28747: done 25 games, mean reward -20.360, speed 52.10 f/s
28995: done 26 games, mean reward -20.346, speed 52.40 f/s
29001: done 22 games, mean reward -19.909, speed 52.43 f/s
29071: done 26 games, mean reward -20.462, speed 50.87 f/s
29313: done 27 games, mean reward -20.296, speed 54.18 f/s
29589: done 27 games, mean reward -20.481, speed 54.87 f/s
29600: done 23 games, mean reward -19.870, speed 55.71 f/s
29729: done 24 games, mean reward -19.833, speed 55.42 f/s
29853: done 27 games, mean reward -20.333, speed 53.41 f/s
30173: done 25 games, mean reward -19.840, speed 54.14 f/s
30209: done 28 games, mean reward -20.321, speed 52.03 f/s
30492: done 29 games, mean reward -20.345, speed 58.06 f/s
30939: done 28 games, mean reward -20.286, speed 55.11 f/s
30958: done 26 games, mean reward -19.846, speed 55.47 f/s
31138: done 27 games, mean reward -19.889, speed 49.88 f/s
31587: done 29 games, mean reward -20.207, speed 54.44 f/s
31651: done 28 games, mean reward -19.893, speed 54.64 f/s
31916: done 28 games, mean reward -20.429, speed 54.75 f/s
32548: done 29 games, mean reward -20.379, speed 54.09 f/s
32591: done 30 games, mean reward -20.300, speed 42.35 f/s
33414: done 30 games, mean reward -20.200, speed 54.12 f/s
33533: done 29 games, mean reward -19.862, speed 55.16 f/s
33731: done 30 games, mean reward -19.867, speed 46.26 f/s
34077: done 30 games, mean reward -20.267, speed 54.49 f/s
35890: done 31 games, mean reward -20.290, speed 54.46 f/s
36891: done 31 games, mean reward -20.226, speed 54.50 f/s
37263: done 31 games, mean reward -20.323, speed 54.42 f/s
37359: done 32 games, mean reward -20.250, speed 56.53 f/s
38006: done 31 games, mean reward -19.903, speed 54.75 f/s
38139: done 32 games, mean reward -20.312, speed 56.36 f/s
38689: done 33 games, mean reward -20.333, speed 53.02 f/s
39005: done 33 games, mean reward -20.273, speed 54.17 f/s
39081: done 32 games, mean reward -20.312, speed 54.53 f/s
39205: done 32 games, mean reward -19.906, speed 54.13 f/s
39249: done 33 games, mean reward -19.879, speed 42.04 f/s
39749: done 34 games, mean reward -20.324, speed 53.81 f/s
39817: done 34 games, mean reward -20.294, speed 53.81 f/s
39946: done 35 games, mean reward -20.286, speed 55.31 f/s
40395: done 35 games, mean reward -20.314, speed 54.65 f/s
40466: done 33 games, mean reward -20.333, speed 54.06 f/s
40495: done 36 games, mean reward -20.306, speed 56.87 f/s
40569: done 34 games, mean reward -20.353, speed 69.41 f/s
40580: done 36 games, mean reward -20.333, speed 53.83 f/s
40831: done 35 games, mean reward -20.343, speed 56.47 f/s
40875: done 36 games, mean reward -20.361, speed 39.67 f/s
40905: done 37 games, mean reward -20.351, speed 55.19 f/s
40951: done 34 games, mean reward -19.912, speed 55.48 f/s
40973: done 38 games, mean reward -20.368, speed 49.47 f/s
40990: done 39 games, mean reward -20.385, speed 83.71 f/s
41035: done 37 games, mean reward -20.378, speed 46.77 f/s
41152: done 38 games, mean reward -20.395, speed 74.90 f/s
41170: done 35 games, mean reward -19.943, speed 47.36 f/s
41241: done 36 games, mean reward -19.944, speed 59.03 f/s
41354: done 37 games, mean reward -19.973, speed 50.23 f/s
41681: done 39 games, mean reward -20.359, speed 51.78 f/s
41685: done 37 games, mean reward -20.270, speed 53.46 f/s
41729: done 40 games, mean reward -20.400, speed 53.03 f/s
41800: done 40 games, mean reward -20.350, speed 48.83 f/s
42044: done 38 games, mean reward -20.000, speed 56.41 f/s
42209: done 38 games, mean reward -20.289, speed 54.72 f/s
42261: done 41 games, mean reward -20.341, speed 55.79 f/s
42482: done 41 games, mean reward -20.415, speed 56.98 f/s
42831: done 39 games, mean reward -20.308, speed 53.59 f/s
42833: done 39 games, mean reward -20.000, speed 52.89 f/s
42872: done 40 games, mean reward -20.300, speed 116.06 f/s
43421: done 40 games, mean reward -20.025, speed 55.39 f/s
43469: done 41 games, mean reward -20.293, speed 52.64 f/s
43558: done 42 games, mean reward -20.357, speed 54.96 f/s
44044: done 43 games, mean reward -20.349, speed 52.82 f/s
44248: done 42 games, mean reward -20.381, speed 54.10 f/s
44487: done 42 games, mean reward -20.262, speed 53.90 f/s
44784: done 41 games, mean reward -20.024, speed 54.70 f/s
44865: done 42 games, mean reward -20.048, speed 39.58 f/s
44917: done 43 games, mean reward -20.279, speed 58.69 f/s
45060: done 43 games, mean reward -20.070, speed 55.23 f/s
45086: done 43 games, mean reward -20.395, speed 54.19 f/s
45267: done 44 games, mean reward -20.341, speed 54.48 f/s
45968: done 44 games, mean reward -20.091, speed 55.10 f/s
47127: done 44 games, mean reward -20.273, speed 54.12 f/s
47517: done 45 games, mean reward -20.333, speed 54.76 f/s
47890: done 44 games, mean reward -20.364, speed 54.46 f/s
48071: done 45 games, mean reward -20.111, speed 54.43 f/s
50324: done 45 games, mean reward -20.244, speed 54.60 f/s
51920: done 46 games, mean reward -20.130, speed 54.74 f/s
52004: done 45 games, mean reward -20.378, speed 54.79 f/s
52048: done 46 games, mean reward -20.391, speed 42.04 f/s
52064: done 47 games, mean reward -20.362, speed 85.35 f/s
52212: done 47 games, mean reward -20.106, speed 57.52 f/s
52752: done 48 games, mean reward -20.292, speed 52.75 f/s
52778: done 46 games, mean reward -20.239, speed 54.51 f/s
52796: done 49 games, mean reward -20.286, speed 108.33 f/s
52853: done 50 games, mean reward -20.280, speed 53.66 f/s
53128: done 47 games, mean reward -20.255, speed 51.15 f/s
53255: done 46 games, mean reward -20.326, speed 54.32 f/s
53299: done 48 games, mean reward -20.250, speed 65.94 f/s
53350: done 51 games, mean reward -20.294, speed 54.11 f/s
53405: done 47 games, mean reward -20.340, speed 60.39 f/s
53535: done 48 games, mean reward -20.104, speed 53.67 f/s
53535: done 52 games, mean reward -20.308, speed 53.11 f/s
53666: done 49 games, mean reward -20.122, speed 54.81 f/s
53860: done 50 games, mean reward -20.140, speed 55.20 f/s
53922: done 49 games, mean reward -20.265, speed 53.75 f/s
54280: done 50 games, mean reward -20.280, speed 52.08 f/s
54329: done 48 games, mean reward -20.333, speed 55.54 f/s
54370: done 51 games, mean reward -20.294, speed 65.47 f/s
54394: done 49 games, mean reward -20.327, speed 53.35 f/s
54404: done 50 games, mean reward -20.320, speed 13.34 f/s
54452: done 51 games, mean reward -20.275, speed 113.80 f/s
54538: done 52 games, mean reward -20.308, speed 50.02 f/s
54557: done 52 games, mean reward -20.288, speed 50.16 f/s
54680: done 53 games, mean reward -20.321, speed 59.41 f/s
54720: done 53 games, mean reward -20.302, speed 62.86 f/s
54857: done 54 games, mean reward -20.278, speed 43.63 f/s
54863: done 53 games, mean reward -20.321, speed 54.18 f/s
54965: done 51 games, mean reward -20.157, speed 54.79 f/s
55332: done 55 games, mean reward -20.291, speed 55.69 f/s
55541: done 54 games, mean reward -20.278, speed 55.17 f/s
55602: done 54 games, mean reward -20.315, speed 55.52 f/s
56040: done 52 games, mean reward -20.135, speed 54.02 f/s
56051: done 55 games, mean reward -20.327, speed 54.64 f/s
56380: done 56 games, mean reward -20.268, speed 55.31 f/s
56425: done 53 games, mean reward -20.151, speed 54.65 f/s
56610: done 54 games, mean reward -20.130, speed 54.08 f/s
56765: done 55 games, mean reward -20.255, speed 54.91 f/s
56903: done 56 games, mean reward -20.304, speed 53.00 f/s
57269: done 56 games, mean reward -20.250, speed 53.95 f/s
57385: done 55 games, mean reward -20.127, speed 54.88 f/s
57403: done 56 games, mean reward -20.143, speed 104.75 f/s
57453: done 57 games, mean reward -20.281, speed 57.25 f/s
57523: done 57 games, mean reward -20.158, speed 53.72 f/s
57883: done 57 games, mean reward -20.263, speed 53.90 f/s
58480: done 57 games, mean reward -20.263, speed 54.52 f/s
58837: done 58 games, mean reward -20.259, speed 53.40 f/s
59036: done 58 games, mean reward -20.259, speed 55.08 f/s
59431: done 58 games, mean reward -20.155, speed 54.70 f/s
