(reinforcement) C:\Users\Kelvin\Desktop\reinforcement learning\Chapter 7>python 03_dqn_double.py --cuda --double
864: done 1 games, mean reward -20.000, speed 206.26 f/s, eps 0.99
1698: done 2 games, mean reward -20.000, speed 243.38 f/s, eps 0.98
2568: done 3 games, mean reward -20.333, speed 234.62 f/s, eps 0.97
3387: done 4 games, mean reward -20.500, speed 192.72 f/s, eps 0.97
4430: done 5 games, mean reward -20.400, speed 169.30 f/s, eps 0.96
5455: done 6 games, mean reward -20.500, speed 166.49 f/s, eps 0.95
6457: done 7 games, mean reward -20.429, speed 167.25 f/s, eps 0.94
7235: done 8 games, mean reward -20.500, speed 166.22 f/s, eps 0.93
8023: done 9 games, mean reward -20.556, speed 162.44 f/s, eps 0.92
8829: done 10 games, mean reward -20.600, speed 162.87 f/s, eps 0.91
9687: done 11 games, mean reward -20.545, speed 160.62 f/s, eps 0.90
10510: done 12 games, mean reward -20.583, speed 71.02 f/s, eps 0.89
11268: done 13 games, mean reward -20.615, speed 53.47 f/s, eps 0.89
12212: done 14 games, mean reward -20.571, speed 53.16 f/s, eps 0.88
13170: done 15 games, mean reward -20.533, speed 52.59 f/s, eps 0.87
14122: done 16 games, mean reward -20.438, speed 50.51 f/s, eps 0.86
15078: done 17 games, mean reward -20.412, speed 51.47 f/s, eps 0.85
15950: done 18 games, mean reward -20.444, speed 53.02 f/s, eps 0.84
16830: done 19 games, mean reward -20.474, speed 53.59 f/s, eps 0.83
17739: done 20 games, mean reward -20.500, speed 53.12 f/s, eps 0.82
18664: done 21 games, mean reward -20.524, speed 52.98 f/s, eps 0.81
19622: done 22 games, mean reward -20.545, speed 53.45 f/s, eps 0.80
20503: done 23 games, mean reward -20.565, speed 53.53 f/s, eps 0.79
21353: done 24 games, mean reward -20.583, speed 52.86 f/s, eps 0.79
22275: done 25 games, mean reward -20.560, speed 50.99 f/s, eps 0.78
23167: done 26 games, mean reward -20.538, speed 49.62 f/s, eps 0.77
23990: done 27 games, mean reward -20.556, speed 51.43 f/s, eps 0.76
24886: done 28 games, mean reward -20.571, speed 51.38 f/s, eps 0.75
25648: done 29 games, mean reward -20.586, speed 50.53 f/s, eps 0.74
26470: done 30 games, mean reward -20.600, speed 51.70 f/s, eps 0.74
27422: done 31 games, mean reward -20.581, speed 51.20 f/s, eps 0.73
28488: done 32 games, mean reward -20.531, speed 52.06 f/s, eps 0.72
29245: done 33 games, mean reward -20.545, speed 52.80 f/s, eps 0.71
30193: done 34 games, mean reward -20.529, speed 53.09 f/s, eps 0.70
31032: done 35 games, mean reward -20.543, speed 52.75 f/s, eps 0.69
31944: done 36 games, mean reward -20.528, speed 53.21 f/s, eps 0.68
32987: done 37 games, mean reward -20.486, speed 52.48 f/s, eps 0.67
33810: done 38 games, mean reward -20.500, speed 52.17 f/s, eps 0.66
34819: done 39 games, mean reward -20.487, speed 50.67 f/s, eps 0.65
35849: done 40 games, mean reward -20.500, speed 50.79 f/s, eps 0.64
36668: done 41 games, mean reward -20.512, speed 51.83 f/s, eps 0.63
37482: done 42 games, mean reward -20.524, speed 52.28 f/s, eps 0.63
38274: done 43 games, mean reward -20.535, speed 51.60 f/s, eps 0.62
39061: done 44 games, mean reward -20.545, speed 52.68 f/s, eps 0.61
40153: done 45 games, mean reward -20.533, speed 51.09 f/s, eps 0.60
41200: done 46 games, mean reward -20.522, speed 50.70 f/s, eps 0.59
42078: done 47 games, mean reward -20.532, speed 51.89 f/s, eps 0.58
42974: done 48 games, mean reward -20.521, speed 52.18 f/s, eps 0.57
43892: done 49 games, mean reward -20.510, speed 52.18 f/s, eps 0.56
44853: done 50 games, mean reward -20.480, speed 47.61 f/s, eps 0.55
45690: done 51 games, mean reward -20.471, speed 48.09 f/s, eps 0.54
46565: done 52 games, mean reward -20.481, speed 51.69 f/s, eps 0.53
47384: done 53 games, mean reward -20.491, speed 46.87 f/s, eps 0.53
48263: done 54 games, mean reward -20.500, speed 48.66 f/s, eps 0.52
49099: done 55 games, mean reward -20.491, speed 47.92 f/s, eps 0.51
49919: done 56 games, mean reward -20.500, speed 48.96 f/s, eps 0.50
50710: done 57 games, mean reward -20.509, speed 47.78 f/s, eps 0.49
51618: done 58 games, mean reward -20.500, speed 51.55 f/s, eps 0.48
52509: done 59 games, mean reward -20.492, speed 51.65 f/s, eps 0.47
53391: done 60 games, mean reward -20.500, speed 51.64 f/s, eps 0.47
54209: done 61 games, mean reward -20.508, speed 50.71 f/s, eps 0.46
55054: done 62 games, mean reward -20.516, speed 52.42 f/s, eps 0.45
55961: done 63 games, mean reward -20.524, speed 52.09 f/s, eps 0.44
56782: done 64 games, mean reward -20.531, speed 51.49 f/s, eps 0.43
57687: done 65 games, mean reward -20.538, speed 51.64 f/s, eps 0.42
58692: done 66 games, mean reward -20.515, speed 51.55 f/s, eps 0.41
59541: done 67 games, mean reward -20.522, speed 51.82 f/s, eps 0.40
60349: done 68 games, mean reward -20.529, speed 51.77 f/s, eps 0.40
61233: done 69 games, mean reward -20.536, speed 52.50 f/s, eps 0.39
62190: done 70 games, mean reward -20.529, speed 49.77 f/s, eps 0.38
63058: done 71 games, mean reward -20.521, speed 50.72 f/s, eps 0.37
64023: done 72 games, mean reward -20.528, speed 49.10 f/s, eps 0.36
64846: done 73 games, mean reward -20.534, speed 47.38 f/s, eps 0.35
65786: done 74 games, mean reward -20.541, speed 52.03 f/s, eps 0.34
66606: done 75 games, mean reward -20.547, speed 50.61 f/s, eps 0.33
67581: done 76 games, mean reward -20.526, speed 51.64 f/s, eps 0.32
68493: done 77 games, mean reward -20.519, speed 50.92 f/s, eps 0.32
69465: done 78 games, mean reward -20.526, speed 52.01 f/s, eps 0.31
70345: done 79 games, mean reward -20.532, speed 52.11 f/s, eps 0.30
71379: done 80 games, mean reward -20.512, speed 52.44 f/s, eps 0.29
72160: done 81 games, mean reward -20.519, speed 51.94 f/s, eps 0.28
73156: done 82 games, mean reward -20.524, speed 50.89 f/s, eps 0.27
73991: done 83 games, mean reward -20.518, speed 52.62 f/s, eps 0.26
74825: done 84 games, mean reward -20.512, speed 52.23 f/s, eps 0.25
75744: done 85 games, mean reward -20.506, speed 52.30 f/s, eps 0.24
76519: done 86 games, mean reward -20.512, speed 52.58 f/s, eps 0.23
77550: done 87 games, mean reward -20.517, speed 52.42 f/s, eps 0.22
78525: done 88 games, mean reward -20.500, speed 51.68 f/s, eps 0.21
79359: done 89 games, mean reward -20.494, speed 52.40 f/s, eps 0.21
80238: done 90 games, mean reward -20.500, speed 51.92 f/s, eps 0.20
81385: done 91 games, mean reward -20.495, speed 52.95 f/s, eps 0.19
82319: done 92 games, mean reward -20.500, speed 51.87 f/s, eps 0.18
83425: done 93 games, mean reward -20.495, speed 51.31 f/s, eps 0.17
84650: done 94 games, mean reward -20.489, speed 51.74 f/s, eps 0.15
85735: done 95 games, mean reward -20.484, speed 53.00 f/s, eps 0.14
86916: done 96 games, mean reward -20.479, speed 52.11 f/s, eps 0.13
88456: done 97 games, mean reward -20.464, speed 50.60 f/s, eps 0.12
89478: done 98 games, mean reward -20.459, speed 52.14 f/s, eps 0.11
90664: done 99 games, mean reward -20.465, speed 51.89 f/s, eps 0.09
91923: done 100 games, mean reward -20.460, speed 49.96 f/s, eps 0.08
92962: done 101 games, mean reward -20.470, speed 50.57 f/s, eps 0.07
94106: done 102 games, mean reward -20.480, speed 50.10 f/s, eps 0.06
95355: done 103 games, mean reward -20.470, speed 50.42 f/s, eps 0.05
96439: done 104 games, mean reward -20.470, speed 49.82 f/s, eps 0.04
97750: done 105 games, mean reward -20.480, speed 50.49 f/s, eps 0.02
99170: done 106 games, mean reward -20.460, speed 50.15 f/s, eps 0.02
100020: done 107 games, mean reward -20.470, speed 50.77 f/s, eps 0.02
101100: done 108 games, mean reward -20.470, speed 50.43 f/s, eps 0.02
102473: done 109 games, mean reward -20.470, speed 50.71 f/s, eps 0.02
